Country,Year,Energy use (kg of oil equivalent per capita),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Individuals using the Internet (% of population),"International migrant stock, total"
russian federation,1963,,,,
rwanda,1963,,,,
south asia,1963,,,,
saudi arabia,1963,,,,
sudan,1963,0,,,
senegal,1963,,,,
singapore,1963,,,,
solomon islands,1963,,,,
sierra leone,1963,,,,
el salvador,1963,,,,
san marino,1963,,,,
somalia,1963,,,,
serbia,1963,,,,
sub-saharan africa (excluding high income),1963,,,,
south sudan,1963,,,,
sub-saharan africa,1963,,,,
small states,1963,,,,
sao tome and principe,1963,,,,
suriname,1963,,,,
slovak republic,1963,,,,
slovenia,1963,,,,
sweden,1963,3080.414075,,,
eswatini,1963,,,,
sint maarten (dutch part),1963,,,,
seychelles,1963,,,,
syrian arab republic,1963,,,,
turks and caicos islands,1963,,,,
chad,1963,,,,
east asia & pacific (ida & ibrd countries),1963,,,,
europe & central asia (ida & ibrd countries),1963,,,,
togo,1963,,,,
thailand,1963,,,,
tajikistan,1963,,,,
turkmenistan,1963,,,,
latin america & the caribbean (ida & ibrd countries),1963,,,,
timor-leste,1963,,,,
middle east & north africa (ida & ibrd countries),1963,,,,
tonga,1963,,,,
south asia (ida & ibrd),1963,,,,
sub-saharan africa (ida & ibrd countries),1963,,,,
trinidad and tobago,1963,,,,
tunisia,1963,,,,
turkey,1963,421.5631753,,,
tuvalu,1963,,,,
tanzania,1963,,,,
uganda,1963,,,,
ukraine,1963,,,,
upper middle income,1963,,,,
uruguay,1963,,,,
united states,1963,5986.783954,,,
uzbekistan,1963,,,,
st. vincent and the grenadines,1963,,,,
"venezuela, rb",1963,,,,
british virgin islands,1963,,,,
virgin islands (u.s.),1963,,,,
vietnam,1963,,,,
vanuatu,1963,,,,
world,1963,,,,
samoa,1963,,,,
kosovo,1963,,,,
"yemen, rep.",1963,,,,
south africa,1963,,,,
zambia,1963,,,,
zimbabwe,1963,,,,
aruba,1964,,,,
afghanistan,1964,,,,
angola,1964,,,,
albania,1964,,,,
andorra,1964,,,,
arab world,1964,,,,
united arab emirates,1964,,,,
argentina,1964,,,,
armenia,1964,,,,
american samoa,1964,,,,
antigua and barbuda,1964,,,,
australia,1964,3349.414167,,,
austria,1964,1855.085155,,,
azerbaijan,1964,,,,
burundi,1964,,,,
belgium,1964,3021.647212,,,
benin,1964,,,,
burkina faso,1964,,,,
bangladesh,1964,,,,
bulgaria,1964,,,,
bahrain,1964,,,,
"bahamas, the",1964,,,,
bosnia and herzegovina,1964,,,,
belarus,1964,,,,
belize,1964,,,,
bermuda,1964,,,,
bolivia,1964,,,,
brazil,1964,,,,
barbados,1964,,,,
brunei darussalam,1964,,,,
bhutan,1964,,,,
botswana,1964,,,,
central african republic,1964,,,,
canada,1964,4903.607607,,,
central europe and the baltics,1964,,,,
switzerland,1964,1819.435337,,,
channel islands,1964,,,,
chile,1964,,,,
china,1964,,,,
cote d'ivoire,1964,,,,
cameroon,1964,,,,
"congo, dem. rep.",1964,,,,
"congo, rep.",1964,,,,
colombia,1964,,,,
comoros,1964,,,,
cabo verde,1964,,,,
costa rica,1964,,,,
caribbean small states,1964,,,,
cuba,1964,,,,
curacao,1964,,,,
cayman islands,1964,,,,
cyprus,1964,,,,
czech republic,1964,,,,
germany,1964,2341.146313,,,
djibouti,1964,,,,
dominica,1964,,,,
denmark,1964,2600.155821,,,
dominican republic,1964,,,,
algeria,1964,,,,
east asia & pacific (excluding high income),1964,,,,
early-demographic dividend,1964,,,,
east asia & pacific,1964,,,,
europe & central asia (excluding high income),1964,,,,
europe & central asia,1964,,,,
ecuador,1964,,,,
"egypt, arab rep.",1964,,,,
euro area,1964,1762.65016,,,
eritrea,1964,,,,
spain,1964,683.6855542,,,
estonia,1964,,,,
ethiopia,1964,,,,
european union,1964,2047.000565,,,
fragile and conflict affected situations,1964,,,,
finland,1964,2678.383166,,,
fiji,1964,,,,
france,1964,2085.160701,,,
faroe islands,1964,,,,
"micronesia, fed. sts.",1964,,,,
gabon,1964,,,,
united kingdom,1964,3212.534556,,,
georgia,1964,,,,
ghana,1964,,,,
gibraltar,1964,,,,
guinea,1964,,,,
"gambia, the",1964,,,,
guinea-bissau,1964,,,,
equatorial guinea,1964,,,,
greece,1964,433.5593423,,,
grenada,1964,,,,
greenland,1964,,,,
guatemala,1964,,,,
guam,1964,,,,
guyana,1964,,,,
high income,1964,3171.369929,,,
"hong kong sar, china",1964,,,,
honduras,1964,,,,
heavily indebted poor countries (hipc),1964,,,,
croatia,1964,,,,
haiti,1964,,,,
hungary,1964,,,,
ibrd only,1964,,,,
ida & ibrd total,1964,,,,
ida total,1964,,,,
ida blend,1964,,,,
indonesia,1964,,,,
ida only,1964,,,,
isle of man,1964,,,,
india,1964,,,,
not classified,1964,,,,
ireland,1964,1522.194973,,,
"iran, islamic rep.",1964,,,,
iraq,1964,,,,
iceland,1964,3306.815957,,,
israel,1964,,,,
italy,1964,1221.730806,,,
jamaica,1964,,,,
jordan,1964,,,,
japan,1964,1260.474547,,,
kazakhstan,1964,,,,
kenya,1964,,,,
kyrgyz republic,1964,,,,
cambodia,1964,,,,
kiribati,1964,,,,
st. kitts and nevis,1964,,,,
"korea, rep.",1964,,,,
kuwait,1964,,,,
latin america & caribbean (excluding high income),1964,,,,
lao pdr,1964,,,,
lebanon,1964,,,,
liberia,1964,,,,
libya,1964,,,,
st. lucia,1964,,,,
latin america & caribbean,1964,,,,
least developed countries: un classification,1964,,,,
low income,1964,,,,
liechtenstein,1964,,,,
sri lanka,1964,,,,
lower middle income,1964,,,,
low & middle income,1964,,,,
lesotho,1964,,,,
late-demographic dividend,1964,,,,
lithuania,1964,,,,
luxembourg,1964,11150.05034,,,
latvia,1964,,,,
"macao sar, china",1964,,,,
st. martin (french part),1964,,,,
morocco,1964,,,,
monaco,1964,,,,
moldova,1964,,,,
madagascar,1964,,,,
maldives,1964,,,,
middle east & north africa,1964,,,,
mexico,1964,,,,
marshall islands,1964,,,,
middle income,1964,,,,
north macedonia,1964,,,,
mali,1964,,,,
malta,1964,,,,
myanmar,1964,,,,
middle east & north africa (excluding high income),1964,,,,
montenegro,1964,,,,
mongolia,1964,,,,
northern mariana islands,1964,,,,
mozambique,1964,,,,
mauritania,1964,,,,
mauritius,1964,,,,
malawi,1964,,,,
malaysia,1964,,,,
north america,1964,6024.09479,,,
namibia,1964,,,,
new caledonia,1964,,,,
niger,1964,,,,
nigeria,1964,,,,
nicaragua,1964,,,,
netherlands,1964,2349.083542,,,
norway,1964,2320.013134,,,
nepal,1964,,,,
nauru,1964,,,,
new zealand,1964,2176.168871,,,
oecd members,1964,3056.712124,,,
oman,1964,,,,
other small states,1964,,,,
pakistan,1964,,,,
panama,1964,,,,
peru,1964,,,,
philippines,1964,,,,
palau,1964,,,,
papua new guinea,1964,,,,
poland,1964,2031.261374,,,
pre-demographic dividend,1964,,,,
puerto rico,1964,,,,
"korea, dem. people’s rep.",1964,,,,
portugal,1964,410.2518271,,,
paraguay,1964,,,,
west bank and gaza,1964,,,,
pacific island small states,1964,,,,
post-demographic dividend,1964,3232.503612,,,
french polynesia,1964,,,,
qatar,1964,,,,
romania,1964,,,,
russian federation,1964,,,,
rwanda,1964,,,,
south asia,1964,,,,
saudi arabia,1964,,,,
sudan,1964,0,,,
senegal,1964,,,,
singapore,1964,,,,
solomon islands,1964,,,,
sierra leone,1964,,,,
el salvador,1964,,,,
san marino,1964,,,,
somalia,1964,,,,
serbia,1964,,,,
sub-saharan africa (excluding high income),1964,,,,
south sudan,1964,,,,
sub-saharan africa,1964,,,,
small states,1964,,,,
sao tome and principe,1964,,,,
suriname,1964,,,,
slovak republic,1964,,,,
slovenia,1964,,,,
sweden,1964,3273.508965,,,
eswatini,1964,,,,
sint maarten (dutch part),1964,,,,
seychelles,1964,,,,
syrian arab republic,1964,,,,
turks and caicos islands,1964,,,,
chad,1964,,,,
east asia & pacific (ida & ibrd countries),1964,,,,
europe & central asia (ida & ibrd countries),1964,,,,
togo,1964,,,,
thailand,1964,,,,
tajikistan,1964,,,,
turkmenistan,1964,,,,
latin america & the caribbean (ida & ibrd countries),1964,,,,
timor-leste,1964,,,,
middle east & north africa (ida & ibrd countries),1964,,,,
tonga,1964,,,,
south asia (ida & ibrd),1964,,,,
sub-saharan africa (ida & ibrd countries),1964,,,,
trinidad and tobago,1964,,,,
tunisia,1964,,,,
turkey,1964,433.9091307,,,
tuvalu,1964,,,,
tanzania,1964,,,,
uganda,1964,,,,
ukraine,1964,,,,
upper middle income,1964,,,,
uruguay,1964,,,,
united states,1964,6136.93823,,,
uzbekistan,1964,,,,
st. vincent and the grenadines,1964,,,,
"venezuela, rb",1964,,,,
british virgin islands,1964,,,,
virgin islands (u.s.),1964,,,,
vietnam,1964,,,,
vanuatu,1964,,,,
world,1964,,,,
samoa,1964,,,,
kosovo,1964,,,,
"yemen, rep.",1964,,,,
south africa,1964,,,,
zambia,1964,,,,
zimbabwe,1964,,,,
aruba,1965,,,,49535
afghanistan,1965,,,,51409
angola,1965,,,,208299
albania,1965,,,,4170
andorra,1965,,,,6983
arab world,1965,,,,77075
united arab emirates,1965,,,,5807
argentina,1965,,,,2409183
armenia,1965,,,,..
american samoa,1965,,,,7677
antigua and barbuda,1965,,,,2054727
australia,1965,3463.215578,,,744995
austria,1965,1851.843564,,,..
azerbaijan,1965,,,,18754
burundi,1965,,,0,38357
belgium,1965,3116.033563,,,685166
benin,1965,,,,11443
burkina faso,1965,,,,..
bangladesh,1965,,,,606859
bulgaria,1965,,,,8831
bahrain,1965,,,,38777
"bahamas, the",1965,,,,11083
bosnia and herzegovina,1965,,,,11243
belarus,1965,,,,46944
belize,1965,,,,..
bermuda,1965,,,,8655
bolivia,1965,,,,1314922
brazil,1965,,,,1464
barbados,1965,,,,26038
brunei darussalam,1965,,,,20783
bhutan,1965,,,,74981
botswana,1965,,,0,184633
central african republic,1965,,,,6953
canada,1965,5153.932412,,,373625
central europe and the baltics,1965,,,,187956
switzerland,1965,1943.600516,,,3020552
channel islands,1965,,,,1220
chile,1965,,,,45905
china,1965,,,,57896
cote d'ivoire,1965,,,,39739
cameroon,1965,,,,97551
"congo, dem. rep.",1965,,,,260479
"congo, rep.",1965,,,,74918
colombia,1965,,,,2138
comoros,1965,,,,1322475
cabo verde,1965,,,,34324
costa rica,1965,,,,32073
caribbean small states,1965,,,,956111
cuba,1965,,,,..
curacao,1965,,,,136612
cayman islands,1965,,,,..
cyprus,1965,,,,32483
czech republic,1965,,,,..
germany,1965,2378.339732,,,99954
djibouti,1965,,,,15883
dominica,1965,,,,2219
denmark,1965,2822.734845,,,167981
dominican republic,1965,,,,32827
algeria,1965,,,,208115
east asia & pacific (excluding high income),1965,,,,34453
early-demographic dividend,1965,,,,13970
east asia & pacific,1965,,,,8266
europe & central asia (excluding high income),1965,,,,..
europe & central asia,1965,,,,34813
ecuador,1965,,,,383551
"egypt, arab rep.",1965,,,,1716
euro area,1965,1816.950487,,,17953
eritrea,1965,,,,32196
spain,1965,714.7215779,,,4447230
estonia,1965,,,,5480
ethiopia,1965,,,,29030
european union,1965,2096.272159,,,39073
fragile and conflict affected situations,1965,,,,..
finland,1965,2887.694106,,,..
fiji,1965,,,,427416
france,1965,2109.852903,,,7681
faroe islands,1965,,,,68707
"micronesia, fed. sts.",1965,,,,4269
gabon,1965,,,,3549
united kingdom,1965,3329.410163,,,34190
georgia,1965,,,,47677
ghana,1965,,,,13818
gibraltar,1965,,,,11938
guinea,1965,,,,13454
"gambia, the",1965,,,,12718
guinea-bissau,1965,,,,37807
equatorial guinea,1965,,,,1696828
greece,1965,478.7558566,,,475994
grenada,1965,,,0,4515
greenland,1965,,,,9350557
guatemala,1965,,,,1475121
guam,1965,,,,53761
guyana,1965,,,,78709
high income,1965,3256.334043,,,94397
"hong kong sar, china",1965,,,,23916
honduras,1965,,,,1291182
heavily indebted poor countries (hipc),1965,,,,629595
croatia,1965,,,,23994
haiti,1965,,,,712854
hungary,1965,1426.89966,,,453521
ibrd only,1965,,,,..
ida & ibrd total,1965,,,,101581
ida total,1965,,,,602
ida blend,1965,,,,26596
indonesia,1965,,,,156147
ida only,1965,,,,..
isle of man,1965,,,,240583
india,1965,,,,..
not classified,1965,,,,20177
ireland,1965,1511.904911,,,..
"iran, islamic rep.",1965,,,,174368
iraq,1965,,,,3633
iceland,1965,3444.551345,,,37614
israel,1965,,,,56320
italy,1965,1316.462854,,,5328
jamaica,1965,,,,..
jordan,1965,,,,52150
japan,1965,1361.587239,,,88227
kazakhstan,1965,,,,98361
kenya,1965,,,,295078
kyrgyz republic,1965,,,,204679
cambodia,1965,,,,1802
kiribati,1965,,,,166053
st. kitts and nevis,1965,,,,6320
"korea, rep.",1965,,,,936
kuwait,1965,,,,15592
latin america & caribbean (excluding high income),1965,,,,10507
lao pdr,1965,,,,205886
lebanon,1965,,,,5563
liberia,1965,,,,..
libya,1965,,,,15260
st. lucia,1965,,,,4072
latin america & caribbean,1965,,,,..
least developed countries: un classification,1965,,,,223034
low income,1965,,,,8022
liechtenstein,1965,,,,279484
sri lanka,1965,,,,34460
lower middle income,1965,,,,951
low & middle income,1965,,,,344550
lesotho,1965,,,,341683
late-demographic dividend,1965,,,,17630
lithuania,1965,,,,386145
luxembourg,1965,10926.39517,,,15079
latvia,1965,,,,63911
"macao sar, china",1965,,,,121891
st. martin (french part),1965,,,,..
morocco,1965,,,,3077
monaco,1965,,,,69216
moldova,1965,,,,52362
madagascar,1965,,,,5698452
maldives,1965,,,0,370
middle east & north africa,1965,,,,63026
mexico,1965,,,,31694
marshall islands,1965,,,,56449
middle income,1965,,,,66892
north macedonia,1965,,,,219555
mali,1965,,,,2249668
malta,1965,,,,62876
myanmar,1965,,,,111040
middle east & north africa (excluding high income),1965,,,,34091
montenegro,1965,,,,329228
mongolia,1965,,,,..
northern mariana islands,1965,,,,33441
mozambique,1965,,,,3442
mauritania,1965,,,,7718
mauritius,1965,,,,7253
malawi,1965,,,,155823
malaysia,1965,,,,174824
north america,1965,6201.770587,,,..
namibia,1965,,,,1455
new caledonia,1965,,,,58809
niger,1965,,,,525047
nigeria,1965,,,,..
nicaragua,1965,,,,..
netherlands,1965,2493.153897,,,..
norway,1965,2539.59773,,,3895
nepal,1965,,,,12136
nauru,1965,,,,945162
new zealand,1965,2241.41569,,,..
oecd members,1965,3138.743288,,,272201
oman,1965,,,,1026891
other small states,1965,,,,3103
pakistan,1965,,,,2681
panama,1965,,,,..
peru,1965,,,,2391
philippines,1965,,,,236369
palau,1965,,,,19132
papua new guinea,1965,,,,393687
poland,1965,2088.010793,,,887150
pre-demographic dividend,1965,,,,319431
puerto rico,1965,,,,..
"korea, dem. people’s rep.",1965,,,,486241
portugal,1965,440.8829378,,,409954
paraguay,1965,,,,7705
west bank and gaza,1965,,,,121155
pacific island small states,1965,,,,236
post-demographic dividend,1965,3318.163818,,,70004
french polynesia,1965,,,,76356
qatar,1965,,,,926865
romania,1965,,,,..
russian federation,1965,,,,291
rwanda,1965,,,,363
south asia,1965,,,,907723
saudi arabia,1965,,,,..
sudan,1965,0,,,25981
senegal,1965,,,,2541943
singapore,1965,,,,11354439
solomon islands,1965,,,,195019
sierra leone,1965,,,,..
el salvador,1965,,,,3059
san marino,1965,,,,563247
somalia,1965,,,,4216
serbia,1965,,,,20342
sub-saharan africa (excluding high income),1965,,,,..
south sudan,1965,,,,177076
sub-saharan africa,1965,,,,325507
small states,1965,,,,448754
sao tome and principe,1965,,,,3349209
suriname,1965,,,,185362
slovak republic,1965,,,,3075673
slovenia,1965,,,,29105070
sweden,1965,3437.54077,,,9065287
eswatini,1965,,,,3358527
sint maarten (dutch part),1965,,,,3328131
seychelles,1965,,,,7391692
syrian arab republic,1965,,,0,15548394
turks and caicos islands,1965,,,,1328285
chad,1965,,,,3577953
east asia & pacific (ida & ibrd countries),1965,,,,13502949
europe & central asia (ida & ibrd countries),1965,,,,5451809
togo,1965,,,0,7012884
thailand,1965,,,0,36765838
tajikistan,1965,,,,24758255
turkmenistan,1965,,,,40424256
latin america & the caribbean (ida & ibrd countries),1965,,,,6672175
timor-leste,1965,,,,8993826
middle east & north africa (ida & ibrd countries),1965,,,,15666001
tonga,1965,,,,7623435
south asia (ida & ibrd),1965,,,,5938660
sub-saharan africa (ida & ibrd countries),1965,,,,5331919
trinidad and tobago,1965,,,,5629817
tunisia,1965,,,,7297329
turkey,1965,445.9010324,,,38450296
tuvalu,1965,,,,5399763
tanzania,1965,,,,22538712
uganda,1965,,,,4434237
ukraine,1965,,,,2589538
upper middle income,1965,,,,2044873
uruguay,1965,,,,33050533
united states,1965,6307.890202,,,14386074
uzbekistan,1965,,,,..
st. vincent and the grenadines,1965,,,,34281364
"venezuela, rb",1965,,,,390033
british virgin islands,1965,,,,37370
virgin islands (u.s.),1965,,,,31902367
vietnam,1965,,,,6436152
vanuatu,1965,,,,612765
world,1965,,,,17168196
samoa,1965,,,,17168196
kosovo,1965,,,,8675286
"yemen, rep.",1965,,,,8673831
south africa,1965,,,,8675286
zambia,1965,,,,10511821
zimbabwe,1965,,,,75216134
aruba,1966,,,,
afghanistan,1966,,,,
angola,1966,,,,
albania,1966,,,,
andorra,1966,,,,
arab world,1966,,,,
united arab emirates,1966,,,,
argentina,1966,,,,
armenia,1966,,,,
american samoa,1966,,,,
antigua and barbuda,1966,,,,
australia,1966,3546.53798,,,
austria,1966,1902.756408,,,
azerbaijan,1966,,,,
burundi,1966,,,,
belgium,1966,3051.297429,,,
benin,1966,,,,
burkina faso,1966,,,,
bangladesh,1966,,,,
bulgaria,1966,,,,
bahrain,1966,,,,
"bahamas, the",1966,,,,
bosnia and herzegovina,1966,,,,
belarus,1966,,,,
belize,1966,,,,
bermuda,1966,,,,
bolivia,1966,,,,
brazil,1966,,,,
barbados,1966,,,,
brunei darussalam,1966,,,,
bhutan,1966,,,,
botswana,1966,,,,
central african republic,1966,,,,
canada,1966,5272.664705,,,
central europe and the baltics,1966,,,,
switzerland,1966,1966.692137,,,
channel islands,1966,,,,
chile,1966,,,,
china,1966,,,,
cote d'ivoire,1966,,,,
cameroon,1966,,,,
"congo, dem. rep.",1966,,,,
"congo, rep.",1966,,,,
colombia,1966,,,,
comoros,1966,,,,
cabo verde,1966,,,,
costa rica,1966,,,,
caribbean small states,1966,,,,
cuba,1966,,,,
curacao,1966,,,,
cayman islands,1966,,,,
cyprus,1966,,,,
czech republic,1966,,,,
germany,1966,2387.684875,,,
djibouti,1966,,,,
dominica,1966,,,,
denmark,1966,3067.427832,,,
dominican republic,1966,,,,
algeria,1966,,,,
east asia & pacific (excluding high income),1966,,,,
early-demographic dividend,1966,,,,
east asia & pacific,1966,,,,
europe & central asia (excluding high income),1966,,,,
europe & central asia,1966,,,,
ecuador,1966,,,,
"egypt, arab rep.",1966,,,,
euro area,1966,1865.290862,,,
eritrea,1966,,,,
spain,1966,790.7917042,,,
estonia,1966,,,,
ethiopia,1966,,,,
european union,1966,2139.206055,,,
fragile and conflict affected situations,1966,,,,
finland,1966,3065.438676,,,
fiji,1966,,,,
france,1966,2122.916547,,,
faroe islands,1966,,,,
"micronesia, fed. sts.",1966,,,,
gabon,1966,,,,
united kingdom,1966,3306.781613,,,
georgia,1966,,,,
ghana,1966,,,,
gibraltar,1966,,,,
guinea,1966,,,,
"gambia, the",1966,,,,
guinea-bissau,1966,,,,
equatorial guinea,1966,,,,
greece,1966,547.1970016,,,
grenada,1966,,,,
greenland,1966,,,,
guatemala,1966,,,,
guam,1966,,,,
guyana,1966,,,,
high income,1966,3382.139535,,,
"hong kong sar, china",1966,,,,
honduras,1966,,,,
heavily indebted poor countries (hipc),1966,,,,
croatia,1966,,,,
haiti,1966,,,,
hungary,1966,1447.937954,,,
ibrd only,1966,,,,
ida & ibrd total,1966,,,,
ida total,1966,,,,
ida blend,1966,,,,
indonesia,1966,,,,
ida only,1966,,,,
isle of man,1966,,,,
india,1966,,,,
not classified,1966,,,,
ireland,1966,1629.591872,,,
"iran, islamic rep.",1966,,,,
iraq,1966,,,,
iceland,1966,3639.770926,,,
israel,1966,,,,
italy,1966,1431.074487,,,
jamaica,1966,,,,
jordan,1966,,,,
japan,1966,1476.997495,,,
kazakhstan,1966,,,,
kenya,1966,,,,
kyrgyz republic,1966,,,,
cambodia,1966,,,,
